"country","perc_ppl_fully_vaxxed"
"Israel",1.4614067606875842
"Germany",0.9176219834376392
"Argentina",0.8307807676992344
"Seychelles",0.5784283014864141
"United States of America",0.567926427331728
"United Kingdom",0.5141730202762537
"Palau",0.4461769783371387
"United Arab Emirates",0.37738003720220403
"Chile",0.32831811263975563
"San Marino",0.2568741816450423
"Maldives",0.2372296971041539
"Bahrain",0.2200561388086985
"Marshall Islands",0.21485435468486316
"Malta",0.19642260243623727
"Spain",0.18610150747492685
"Italy",0.185157993158207
"Serbia",0.18369513354473735
"Brazil",0.18345691135488995
"Czech Republic",0.18261957803830148
"Switzerland",0.1787619849776742
"Hungary",0.17575334018499486
"Uruguay",0.15578994153165407
"Singapore",0.14944474900396726
"Morocco",0.11670619782557652
"Monaco",0.11653194263363754
"Austria",0.11053428357079195
"Slovenia",0.10235898271386495
"Denmark",0.10043569869752716
"Turkey",0.09518570505865966
"Liechtenstein",0.0948492140699401
"Romania",0.0942002540223659
"Lithuania",0.08891549824261082
"France",0.08751574949183222
"Iceland",0.0871673132749125
"Slovakia",0.08014314127251625
"Portugal",0.08007015213518301
"Greece",0.07940493900069645
"Ireland",0.07825410857073975
"Luxembourg",0.07463961054306556
"Canada",0.07148005802452634
"Estonia",0.07043085162396763
"Dominican Republic",0.0688181473461006
"Sweden",0.06842669773094727
"Poland",0.06742278315459063
"Belgium",0.06568612016034298
"Cyprus",0.06545683864392655
"Hong Kong",0.0625613443579246
"Netherlands",0.06229728276823292
"Dominica",0.06223611111111111
"Norway",0.05737262650729342
"Costa Rica",0.054260108099146276
"Cambodia",0.05249285776794052
"Mexico",0.04836760073624821
"Andorra",0.044978529769916044
"Panama",0.04348206147014141
"Russia",0.040134701123885605
"Croatia",0.0389657046847203
"Montenegro",0.03215608331604684
"Colombia",0.02826905369373074
"Indonesia",0.02729178920213746
"Finland",0.027040003341253678
"Bulgaria",0.025442460603179506
"Lebanon",0.02126414536859211
"Latvia",0.02109740603493912
"Azerbaijan",0.018407357805872826
"Peru",0.018019964338757105
"India",0.017153207911166285
"Malaysia",0.015992259767146064
"Bangladesh",0.01464298487714474
"Oman",0.011940790575692046
"New Zealand",0.01174070379281341
"Ecuador",0.011316906331192759
"Jordan",0.00865903535688166
"Belarus",0.007968216975083011
"Japan",0.007586755442149749
"Kazakhstan",0.007459421533495764
"Tunisia",0.00602697184186701
"El Salvador",0.0055505949001858354
"Australia",0.005093923195666794
"Equatorial Guinea",0.005040555583599232
"South Africa",0.004870036152550176
"Thailand",0.004187588314344256
"Laos",0.0038205000066096257
"Zimbabwe",0.003641126849472817
"Guinea",0.0029944074695165057
"South Korea",0.0028617427738669306
"Philippines",0.002229981622773392
"Paraguay",0.0016606741322430266
"Moldova",0.0013493973348361144
"Sierra Leone",0.0006225685060356366
"Iran",0.0005640605191546336
"Albania",0.00022979983871846183
"Guatemala",8.930582604791445e-05
"Ukraine",2.1672539724260277e-07
"Palestine",0.0
"Kuwait",0.0
"Bolivia",0.0
