month_year,Brazil,India,Mexico,UK,US
2020/01,0.0,6.0,306.0,6.0,28.0
2020/02,9.0,3.0,426.0,189.0,271.0
2020/03,21064.0,3523.0,9146.0,155830.0,659943.0
2020/04,283310.0,74087.0,84735.0,540906.0,2737148.0
2020/05,1441611.0,437913.0,269588.0,306339.0,2179455.0
2020/06,2893589.0,1088115.0,470918.0,111084.0,2539550.0
2020/07,4040431.0,3221807.0,634812.0,82775.0,5779350.0
2020/08,3976818.0,5771020.0,510545.0,135292.0,4383907.0
2020/09,2874813.0,7498379.0,440740.0,585421.0,3564032.0
2020/10,2311529.0,5277077.0,514900.0,2240147.0,5695981.0
2020/11,2537570.0,3501070.0,613895.0,2384259.0,13254546.0
2020/12,4191227.0,2294457.0,975677.0,4074446.0,19291618.0
2021/01,4806407.0,1324470.0,1253095.0,4885263.0,18448373.0
2021/02,4295264.0,982784.0,577694.0,1324209.0,7204690.0
2021/03,7033939.0,3273321.0,410668.0,636452.0,5716760.0
2021/04,2902232.675906183,4600360.234042553,120460.73347547973,226983.62179487178,2887193.562899787
